date,week,player_id,player_name,position,player_vmax_kmh,md_code,session_focus,session_type,match_role,duration_min,total_distance_m,hsr_m,sprint_distance_m,accelerations,decelerations,max_speed_kmh,percent_vmax,session_rpe,session_load_au,previous_3d_load,wellness_score,session_load_au_7d,session_load_au_28d,total_distance_m_7d,total_distance_m_28d,hsr_m_7d,hsr_m_28d,sprint_distance_m_7d,sprint_distance_m_28d,chronic_load_weekly_equivalent,observation_days,load_ratio_7_28_context,days_since_85_pct_vmax,days_since_90_pct_vmax,days_since_95_pct_vmax
2026-07-20,1,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,
2026-07-21,1,P01,Player 01,CB,32.24,MD-4,Volume,Training,,86.0,5590.0,229.0,24.0,20.0,22.0,27.15,84.2,4.8,413.0,0.0,92.0,413.0,413.0,5590.0,5590.0,229.0,229.0,24.0,24.0,103.25,2,,,,
2026-07-22,1,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,93.0,7293.0,353.0,73.0,22.0,23.0,29.26,90.7,6.9,642.0,413.0,86.0,1055.0,1055.0,12883.0,12883.0,582.0,582.0,97.0,97.0,263.75,3,,0.0,0.0,
2026-07-23,1,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,71.0,4517.0,202.0,23.0,16.0,19.0,25.74,79.8,4.0,284.0,1055.0,77.0,1339.0,1339.0,17400.0,17400.0,784.0,784.0,120.0,120.0,334.75,4,,1.0,1.0,
2026-07-24,1,P01,Player 01,CB,32.24,MD-1,Activation,Training,,46.0,3038.0,72.0,8.0,9.0,10.0,22.81,70.8,2.5,115.0,1339.0,75.0,1454.0,1454.0,20438.0,20438.0,856.0,856.0,128.0,128.0,363.5,5,,2.0,2.0,
2026-07-25,1,P01,Player 01,CB,32.24,MD,Match,Top-up,Unused,53.0,4503.0,185.0,25.0,17.0,16.0,25.61,79.4,4.5,238.0,1041.0,77.0,1692.0,1692.0,24941.0,24941.0,1041.0,1041.0,153.0,153.0,423.0,6,,3.0,3.0,
2026-07-26,1,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,35.0,2131.0,18.0,1.0,6.0,5.0,18.58,57.6,3.0,105.0,637.0,80.0,1797.0,1797.0,27072.0,27072.0,1059.0,1059.0,154.0,154.0,449.25,7,,4.0,4.0,
2026-07-27,2,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,86.0,1797.0,1797.0,27072.0,27072.0,1059.0,1059.0,154.0,154.0,449.25,8,,5.0,5.0,
2026-07-28,2,P01,Player 01,CB,32.24,MD-4,Volume,Training,,84.0,6456.0,156.0,30.0,21.0,17.0,25.9,80.3,5.9,496.0,343.0,84.0,1880.0,2293.0,27938.0,33528.0,986.0,1215.0,160.0,184.0,573.25,9,,6.0,6.0,
2026-07-29,2,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,87.0,7419.0,392.0,63.0,22.0,26.0,30.82,95.6,5.1,444.0,601.0,90.0,1682.0,2737.0,28064.0,40947.0,1025.0,1607.0,150.0,247.0,684.25,10,,0.0,0.0,0.0
2026-07-30,2,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,66.0,4647.0,188.0,22.0,19.0,16.0,28.64,88.8,4.1,271.0,940.0,84.0,1669.0,3008.0,28194.0,45594.0,1011.0,1795.0,149.0,269.0,752.0,11,,0.0,1.0,1.0
2026-07-31,2,P01,Player 01,CB,32.24,MD-1,Activation,Training,,40.0,2964.0,55.0,8.0,9.0,10.0,21.85,67.8,2.4,96.0,1211.0,83.0,1650.0,3104.0,28120.0,48558.0,994.0,1850.0,149.0,277.0,776.0,12,,1.0,2.0,2.0
2026-08-01,2,P01,Player 01,CB,32.24,MD,Match,Match,Starter,94.0,9411.0,482.0,101.0,32.0,28.0,29.41,91.2,8.6,808.0,811.0,84.0,2220.0,3912.0,33028.0,57969.0,1291.0,2332.0,225.0,378.0,978.0,13,,0.0,0.0,3.0
2026-08-02,2,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,37.0,2255.0,18.0,1.0,5.0,6.0,16.64,51.6,1.7,63.0,1175.0,77.0,2178.0,3975.0,33152.0,60224.0,1291.0,2350.0,225.0,379.0,993.75,14,,1.0,1.0,4.0
2026-08-03,3,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,82.0,2178.0,3975.0,33152.0,60224.0,1291.0,2350.0,225.0,379.0,993.75,15,,2.0,2.0,5.0
2026-08-04,3,P01,Player 01,CB,32.24,MD-4,Volume,Training,,80.0,6047.0,241.0,31.0,23.0,19.0,23.96,74.3,5.6,448.0,871.0,80.0,2130.0,4423.0,32743.0,66271.0,1376.0,2591.0,226.0,410.0,1105.75,16,,3.0,3.0,6.0
2026-08-05,3,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,89.0,6949.0,375.0,69.0,25.0,30.0,28.23,87.6,5.7,507.0,511.0,89.0,2193.0,4930.0,32273.0,73220.0,1359.0,2966.0,232.0,479.0,1232.5,17,,0.0,4.0,7.0
2026-08-06,3,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,78.0,5570.0,234.0,22.0,20.0,17.0,25.72,79.8,3.6,281.0,955.0,82.0,2203.0,5211.0,33196.0,78790.0,1405.0,3200.0,232.0,501.0,1302.75,18,,1.0,5.0,8.0
2026-08-07,3,P01,Player 01,CB,32.24,MD-1,Activation,Training,,45.0,2535.0,58.0,8.0,11.0,11.0,23.45,72.7,2.8,126.0,1236.0,79.0,2233.0,5337.0,32767.0,81325.0,1408.0,3258.0,232.0,509.0,1334.25,19,,2.0,6.0,9.0
2026-08-08,3,P01,Player 01,CB,32.24,MD,Match,Match,Sub,27.0,3218.0,211.0,39.0,11.0,13.0,29.37,91.1,7.6,205.0,914.0,81.0,1630.0,5542.0,26574.0,84543.0,1137.0,3469.0,170.0,548.0,1385.5,20,,0.0,0.0,10.0
2026-08-09,3,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,30.0,2003.0,19.0,1.0,5.0,6.0,18.95,58.8,1.7,51.0,612.0,89.0,1618.0,5593.0,26322.0,86546.0,1138.0,3488.0,170.0,549.0,1398.25,21,,1.0,1.0,11.0
2026-08-10,4,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,80.0,1618.0,5593.0,26322.0,86546.0,1138.0,3488.0,170.0,549.0,1398.25,22,,2.0,2.0,12.0
2026-08-11,4,P01,Player 01,CB,32.24,MD-4,Volume,Training,,76.0,5509.0,245.0,26.0,22.0,26.0,27.32,84.7,5.6,426.0,256.0,92.0,1596.0,6019.0,25784.0,92055.0,1142.0,3733.0,165.0,575.0,1504.75,23,,3.0,3.0,13.0
2026-08-12,4,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,90.0,6676.0,407.0,65.0,26.0,24.0,31.25,96.9,6.6,594.0,477.0,84.0,1683.0,6613.0,25511.0,98731.0,1174.0,4140.0,161.0,640.0,1653.25,24,,0.0,0.0,0.0
2026-08-13,4,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,70.0,4984.0,141.0,26.0,18.0,18.0,27.07,84.0,3.7,259.0,1020.0,75.0,1661.0,6872.0,24925.0,103715.0,1081.0,4281.0,165.0,666.0,1718.0,25,,1.0,1.0,1.0
2026-08-14,4,P01,Player 01,CB,32.24,MD-1,Activation,Training,,43.0,2844.0,72.0,7.0,11.0,9.0,22.03,68.3,2.1,90.0,1279.0,75.0,1625.0,6962.0,25234.0,106559.0,1095.0,4353.0,164.0,673.0,1740.5,26,,2.0,2.0,2.0
2026-08-15,4,P01,Player 01,CB,32.24,MD,Match,Match,Starter,85.0,7974.0,457.0,103.0,34.0,26.0,30.33,94.1,8.0,680.0,943.0,75.0,2100.0,7642.0,29990.0,114533.0,1341.0,4810.0,228.0,776.0,1910.5,27,,0.0,0.0,3.0
2026-08-16,4,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,34.0,2038.0,16.0,1.0,5.0,5.0,17.47,54.2,1.2,41.0,1029.0,82.0,2090.0,7683.0,30025.0,116571.0,1338.0,4826.0,228.0,777.0,1920.75,28,1.088116621111545,1.0,1.0,4.0
2026-08-17,5,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,78.0,2090.0,7683.0,30025.0,116571.0,1338.0,4826.0,228.0,777.0,1920.75,29,1.088116621111545,2.0,2.0,5.0
2026-08-18,5,P01,Player 01,CB,32.24,MD-4,Volume,Training,,75.0,5107.0,208.0,37.0,22.0,21.0,24.66,76.5,4.3,322.0,721.0,83.0,1986.0,7592.0,29623.0,116088.0,1301.0,4805.0,239.0,790.0,1898.0,30,1.0463645943098,3.0,3.0,6.0
2026-08-19,5,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,87.0,7665.0,303.0,94.0,28.0,29.0,29.6,91.8,7.0,609.0,363.0,89.0,2001.0,7559.0,30612.0,116460.0,1197.0,4755.0,268.0,811.0,1889.75,31,1.0588702209286942,0.0,0.0,7.0
2026-08-20,5,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,72.0,5342.0,146.0,32.0,19.0,20.0,25.91,80.4,4.4,317.0,931.0,78.0,2059.0,7592.0,30970.0,117285.0,1202.0,4699.0,274.0,820.0,1898.0,32,1.0848261327713382,1.0,1.0,8.0
2026-08-21,5,P01,Player 01,CB,32.24,MD-1,Activation,Training,,49.0,2683.0,71.0,9.0,8.0,10.0,23.65,73.4,2.4,118.0,1248.0,77.0,2087.0,7595.0,30809.0,116930.0,1201.0,4698.0,276.0,821.0,1898.75,33,1.0991441737985517,2.0,2.0,9.0
2026-08-22,5,P01,Player 01,CB,32.24,MD,Match,Match,Starter,90.0,9197.0,374.0,94.0,29.0,30.0,31.16,96.6,9.0,810.0,1044.0,75.0,2217.0,8167.0,32032.0,121624.0,1118.0,4887.0,267.0,890.0,2041.75,34,1.0858332312966819,0.0,0.0,0.0
2026-08-23,5,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,36.0,2369.0,19.0,1.0,5.0,5.0,16.16,50.1,2.2,79.0,1245.0,77.0,2255.0,8141.0,32363.0,121862.0,1121.0,4888.0,267.0,890.0,2035.25,35,1.1079719936125783,1.0,1.0,1.0
2026-08-24,6,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,88.0,2255.0,8141.0,32363.0,121862.0,1121.0,4888.0,267.0,890.0,2035.25,36,1.1079719936125783,2.0,2.0,2.0
2026-08-25,6,P01,Player 01,CB,32.24,MD-4,Volume,Training,,76.0,6021.0,223.0,21.0,23.0,21.0,25.44,78.9,4.6,350.0,889.0,83.0,2283.0,7995.0,33277.0,121427.0,1136.0,4955.0,251.0,881.0,1998.75,37,1.1422138836772984,3.0,3.0,3.0
