player_id,player_name,position,week,training_distance_m,training_hsr_m,training_sprint_m,training_load_au,training_accelerations,training_decelerations,peak_training_speed_kmh,peak_training_pct_vmax,snapshot_date,md1_wellness,load_7d_au,load_28d_au,distance_7d_m,hsr_7d_m,sprint_7d_m,load_ratio_7_28_context,days_since_85_pct_vmax,days_since_90_pct_vmax,days_since_95_pct_vmax,baseline_training_distance_m,baseline_training_hsr_m,baseline_training_sprint_m,baseline_training_load_au,baseline_peak_pct_vmax,baseline_accelerations,baseline_decelerations,baseline_md1_wellness,vmax_kmh,match_total_distance_m,match_hsr_m,match_sprint_distance_m,match_accelerations,match_decelerations,distance_vs_baseline,hsr_vs_baseline,sprint_vs_baseline,load_vs_baseline,training_to_match_hsr,training_to_match_sprint,peak_speed_vs_player_vmax,wellness_delta,load_context,training_context,context_note,planned_reduction,preparation_alignment,exposure_index,monitoring_status,monitoring_reasons
P01,Player 01,CB,1,20438.0,856.0,128.0,1454.0,67.0,74.0,29.26,90.7,2026-07-24,75.0,1454.0,1454.0,20438.0,856.0,128.0,,2.0,2.0,,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,0.97,1.0,1.0,1.07,1.88,1.31,0.91,-4.0,Typical,Full training,Normal squad training plan,False,100.0,100.0,Baseline,Baseline acquisition period
P01,Player 01,CB,2,21486.0,791.0,123.0,1307.0,71.0,69.0,30.82,95.6,2026-07-31,83.0,1650.0,3104.0,28120.0,994.0,149.0,,1.0,2.0,2.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,1.02,0.92,0.96,0.96,1.73,1.26,0.96,4.0,Typical,Full training,Normal squad training plan,False,96.0,96.0,Baseline,Baseline acquisition period
P01,Player 01,CB,3,21101.0,908.0,130.0,1362.0,79.0,77.0,28.23,87.6,2026-08-07,79.0,2233.0,5337.0,32767.0,1408.0,232.0,,2.0,6.0,9.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,1.0,1.06,1.02,1.0,1.99,1.33,0.88,0.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Baseline,Baseline acquisition period
P01,Player 01,CB,4,20013.0,865.0,124.0,1369.0,77.0,77.0,31.25,96.9,2026-08-14,75.0,1625.0,6962.0,25234.0,1095.0,164.0,,2.0,2.0,2.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,0.95,1.01,0.97,1.01,1.9,1.27,0.97,-4.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Ready,Exposure aligned with individual baseline
P01,Player 01,CB,5,20797.0,728.0,172.0,1366.0,77.0,80.0,29.6,91.8,2026-08-21,77.0,2087.0,7595.0,30809.0,1201.0,276.0,1.1,2.0,2.0,9.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,0.99,0.85,1.34,1.0,1.6,1.76,0.92,-2.0,Typical,Full training,Normal squad training plan,False,79.0,79.0,Ready,Exposure aligned with individual baseline
P01,Player 01,CB,6,21177.0,917.0,111.0,1347.0,75.0,73.0,28.02,86.9,2026-08-28,78.0,2236.0,8181.0,32743.0,1310.0,206.0,1.09,2.0,6.0,6.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,1.0,1.07,0.87,0.99,2.01,1.13,0.87,-1.0,Typical,Full training,Normal squad training plan,False,91.0,91.0,Ready,Exposure aligned with individual baseline
P01,Player 01,CB,7,20306.0,1044.0,138.0,1509.0,79.0,78.0,28.51,88.4,2026-09-04,73.0,1815.0,7763.0,26686.0,1220.0,170.0,0.94,1.0,13.0,13.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,0.96,1.22,1.08,1.11,2.29,1.41,0.88,-6.0,Typical,Full training,Normal squad training plan,False,90.0,90.0,Monitor,Limited recent >90% Vmax exposure
P01,Player 01,CB,8,19762.0,938.0,144.0,1505.0,73.0,71.0,27.61,85.6,2026-09-11,76.0,1677.0,7815.0,23300.0,992.0,163.0,0.86,2.0,20.0,20.0,21101.0,856.0,128.0,1362.0,90.7,71.0,74.0,79.0,32.24,9290.0,456.0,98.0,29.0,29.0,0.94,1.1,1.12,1.1,2.06,1.47,0.86,-3.0,Typical,Full training,Normal squad training plan,False,90.0,90.0,Monitor,Limited recent >90% Vmax exposure
P02,Player 02,CB,1,20033.0,842.0,108.0,1410.0,92.0,85.0,27.47,85.6,2026-07-24,84.0,1410.0,1410.0,20033.0,842.0,108.0,,2.0,,,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,0.91,1.0,0.88,1.0,1.96,1.32,0.86,3.0,Typical,Full training,Normal squad training plan,False,93.0,93.0,Baseline,Baseline acquisition period
P02,Player 02,CB,2,21949.0,842.0,130.0,1115.0,94.0,82.0,27.71,86.3,2026-07-31,81.0,1885.0,3295.0,33690.0,1314.0,224.0,,2.0,6.0,6.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,1.0,1.0,1.06,0.79,1.96,1.59,0.86,0.0,Typical,Full training,Normal squad training plan,False,96.0,96.0,Baseline,Baseline acquisition period
