player_id,player_name,position,vmax_kmh,match_total_distance_m,match_hsr_m,match_sprint_distance_m,match_accelerations,match_decelerations
P01,Player 01,CB,32.24,9290.0,456.0,98.0,29.0,29.0
P02,Player 02,CB,32.1,9645.0,429.0,82.0,36.0,34.0
P03,Player 03,CB,32.05,10352.0,446.0,82.0,35.0,30.0
P04,Player 04,CB,32.7,9776.0,424.0,84.0,37.0,32.0
P05,Player 05,CB,31.66,9627.0,448.0,93.0,35.0,33.0
P06,Player 06,FB,35.93,10581.0,786.0,230.0,47.0,47.0
P07,Player 07,FB,33.9,10346.0,766.0,266.0,47.0,46.0
P08,Player 08,FB,33.4,10925.0,828.0,255.0,48.0,45.0
P09,Player 09,FB,34.61,10836.0,839.0,266.0,40.0,43.0
P10,Player 10,FB,33.58,10455.0,802.0,287.0,42.0,47.0
P11,Player 11,CM,31.15,11012.0,658.0,148.0,49.0,49.0
P12,Player 12,CM,32.22,10941.0,695.0,137.0,43.0,42.0
P13,Player 13,CM,31.76,11478.0,657.0,150.0,46.0,47.0
P14,Player 14,CM,33.0,11027.0,674.0,131.0,46.0,45.0
P15,Player 15,CM,31.54,11473.0,626.0,140.0,49.0,47.0
P16,Player 16,W,35.6,10349.0,889.0,327.0,42.0,41.0
P17,Player 17,W,33.81,9881.0,949.0,300.0,47.0,50.0
P18,Player 18,W,34.68,10784.0,851.0,323.0,45.0,45.0
P19,Player 19,W,35.76,9502.0,952.0,338.0,46.0,41.0
P20,Player 20,W,35.06,10125.0,937.0,331.0,53.0,45.0
P21,Player 21,ST,33.58,9989.0,763.0,318.0,46.0,41.0
P22,Player 22,ST,35.57,9312.0,712.0,254.0,42.0,36.0
P23,Player 23,ST,34.91,9790.0,662.0,252.0,44.0,42.0
P24,Player 24,ST,36.0,11342.0,775.0,252.0,37.0,41.0
