date,week,player_id,player_name,position,player_vmax_kmh,md_code,session_focus,session_type,match_role,duration_min,total_distance_m,hsr_m,sprint_distance_m,accelerations,decelerations,max_speed_kmh,percent_vmax,session_rpe,session_load_au,previous_3d_load,wellness_score
2026-07-20,1,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
2026-07-21,1,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,86.0,5590.0,229.0,24.0,20.0,22.0,27.15,84.2,4.8,413.0,0.0,92.0
2026-07-22,1,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,93.0,7293.0,353.0,73.0,22.0,23.0,29.26,90.7,6.9,642.0,413.0,86.0
2026-07-23,1,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,71.0,4517.0,202.0,23.0,16.0,19.0,25.74,79.8,4.0,284.0,1055.0,77.0
2026-07-24,1,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,46.0,3038.0,72.0,8.0,9.0,10.0,22.81,70.8,2.5,115.0,1339.0,75.0
2026-07-25,1,P01,Player 01,CB,32.24,MD,Match,Top-up,Unused,53.0,4503.0,185.0,25.0,17.0,16.0,25.61,79.4,4.5,238.0,1041.0,77.0
2026-07-26,1,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,35.0,2131.0,18.0,1.0,6.0,5.0,18.58,57.6,3.0,105.0,637.0,80.0
2026-07-27,2,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,86.0
2026-07-28,2,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,84.0,6456.0,156.0,30.0,21.0,17.0,25.9,80.3,5.9,496.0,343.0,84.0
2026-07-29,2,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,87.0,7419.0,392.0,63.0,22.0,26.0,30.82,95.6,5.1,444.0,601.0,90.0
2026-07-30,2,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,66.0,4647.0,188.0,22.0,19.0,16.0,28.64,88.8,4.1,271.0,940.0,84.0
2026-07-31,2,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,40.0,2964.0,55.0,8.0,9.0,10.0,21.85,67.8,2.4,96.0,1211.0,83.0
2026-08-01,2,P01,Player 01,CB,32.24,MD,Match,Match,Starter,94.0,9411.0,482.0,101.0,32.0,28.0,29.41,91.2,8.6,808.0,811.0,84.0
2026-08-02,2,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,37.0,2255.0,18.0,1.0,5.0,6.0,16.64,51.6,1.7,63.0,1175.0,77.0
2026-08-03,3,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,82.0
2026-08-04,3,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,80.0,6047.0,241.0,31.0,23.0,19.0,23.96,74.3,5.6,448.0,871.0,80.0
2026-08-05,3,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,89.0,6949.0,375.0,69.0,25.0,30.0,28.23,87.6,5.7,507.0,511.0,89.0
