match_id,date_time,team,opponent,player_id,player_name,position,skillcorner_position,minutes,tracked_minutes,hsr_m,sprint_m,hsr_m_per90,sprint_m_per90,speed_p99_kmh,speed_max_kmh
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,26766,B. Vriends,CB,Central Defender,100.46,72.69,312.3,125.2,279.8,112.2,21.84,28.56
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,51050,B. Warland,CB,Central Defender,100.46,72.69,444.8,104.0,398.5,93.2,22.07,37.24
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,69111,H. Bility,CB,Central Defender,100.46,72.69,505.2,264.9,452.6,237.4,24.06,31.18
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,809759,P. Kikianis,CB,Central Defender,100.46,72.69,200.4,27.4,179.5,24.6,19.53,28.6
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,560893,E. Alagich,CM,Midfield,100.46,72.69,511.4,159.3,458.1,142.7,22.48,31.63
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,50949,J. Barnett,CM,Midfield,92.73,67.79,360.5,76.0,349.9,73.8,21.84,28.87
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,51002,J. O'Shea,CM,Midfield,100.46,72.69,380.7,128.5,341.1,115.1,22.28,29.29
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,50959,S. Mauk,CM,Midfield,70.4,52.13,532.3,76.6,680.5,98.0,23.52,27.98
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,287934,Walid Shour,CM,Midfield,84.75,61.96,537.9,123.6,571.2,131.2,22.68,29.55
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,560983,A. Burke-Gilroy,FB,Full Back,100.46,72.69,602.3,204.2,539.6,183.0,23.45,31.77
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,50994,C. Brown,FB,Full Back,84.75,61.96,550.0,93.7,584.1,99.5,22.98,33.26
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,51005,D. Pierias,FB,Full Back,100.46,72.69,505.0,311.9,452.4,279.5,24.47,39.84
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,23925,R. Kitto,FB,Full Back,100.46,72.69,591.5,180.4,529.9,161.6,23.42,31.73
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,795537,T. Waddingham,ST,Center Forward,71.6,52.31,210.2,107.3,264.2,134.9,21.52,30.84
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,50966,B. Halloran,W,Wide Attacker,71.6,52.31,299.4,122.3,376.4,153.8,22.22,31.82
1874553,2024-11-23T06:00:00Z,Brisbane FC,Adelaide United,560986,K. Jelacic,W,Wide Attacker,100.46,72.69,731.9,170.9,655.7,153.1,23.62,30.28
1874553,2024-11-23T06:00:00Z,Adelaide United,Brisbane FC,42513,Z. Clough,W,Wide Attacker,80.08,58.45,436.1,54.4,490.1,61.2,22.0,30.12
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,51649,A. Šušnjar,CB,Central Defender,98.4,71.35,293.9,84.8,268.8,77.6,21.27,30.22
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,51667,D. Hall,CB,Central Defender,98.4,71.35,250.0,98.8,228.6,90.4,20.8,30.94
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,33697,N. Pijnaker,CB,Central Defender,98.4,71.35,245.8,84.0,224.9,76.9,20.76,31.0
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,176224,P. Cancar,CB,Central Defender,98.4,71.35,311.5,160.9,284.9,147.1,22.07,32.67
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,50978,C. Timmins,CM,Midfield,86.26,64.59,538.3,115.0,561.7,119.9,22.52,33.49
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,23418,F. Gallegos,CM,Midfield,98.4,71.35,1161.7,177.3,1062.5,162.1,24.0,30.97
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,735574,K. Grozos,CM,Midfield,98.4,71.35,367.1,102.1,335.7,93.4,21.8,30.5
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,795507,L. Bayliss,CM,Midfield,61.55,50.35,443.5,101.4,648.5,148.3,23.26,27.37
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,14736,L. Verstraete,CM,Midfield,98.4,71.35,684.9,45.2,626.4,41.4,22.61,27.31
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,51713,C. Elliott,FB,Full Back,98.4,71.35,643.1,155.8,588.2,142.5,23.25,35.17
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,50983,D. Ingham,FB,Full Back,98.4,71.35,526.6,187.9,481.7,171.9,23.5,29.85
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,133498,F. De Vries,FB,Full Back,98.4,71.35,695.3,115.2,636.0,105.4,22.98,29.14
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,735578,M. Natta,FB,Full Back,98.4,71.35,465.4,153.5,425.7,140.4,22.97,31.47
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,966120,B. Gibson,ST,Center Forward,69.02,53.76,449.7,108.1,586.4,141.0,22.93,30.56
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,38673,G. May,ST,Center Forward,86.65,64.59,666.4,128.5,692.1,133.5,23.32,32.25
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,50951,J. Brimmer,ST,Center Forward,77.91,58.91,639.5,184.4,738.8,213.0,24.05,37.02
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,795505,E. Adams,W,Wide Attacker,86.26,64.6,717.4,127.8,748.5,133.3,23.42,39.89
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,965685,L. Gillion,W,Wide Attacker,98.4,71.32,726.1,291.6,664.1,266.7,24.53,40.88
1886347,2024-11-30T04:00:00Z,Auckland FC,Newcastle,133501,L. Rogerson,W,Wide Attacker,71.18,54.73,772.4,116.2,976.6,146.9,23.4,30.73
1886347,2024-11-30T04:00:00Z,Newcastle,Auckland FC,735573,T. Aquilina,W,Wide Attacker,98.4,71.35,921.3,203.6,842.7,186.2,24.02,30.47
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,51667,D. Hall,CB,Central Defender,100.85,66.58,397.0,115.2,354.3,102.8,21.96,35.43
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,698137,I. Hughes,CB,Central Defender,100.85,66.58,287.3,47.4,256.4,42.3,20.63,35.82
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,799092,M. Sheridan,CB,Central Defender,100.85,66.56,516.4,122.0,460.9,108.8,22.85,41.33
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,33697,N. Pijnaker,CB,Central Defender,100.85,66.58,338.4,151.4,302.0,135.1,22.47,31.35
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,42510,S. Wootton,CB,Central Defender,100.85,66.58,171.1,44.5,152.7,39.7,19.48,32.58
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,51015,A. Rufer,CM,Midfield,100.85,66.58,384.0,33.7,342.6,30.1,21.25,31.28
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,133495,C. Howieson,CM,Midfield,79.16,49.87,614.0,97.9,698.1,111.4,23.49,27.77
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,23418,F. Gallegos,CM,Midfield,100.85,66.58,814.8,277.1,727.1,247.3,24.72,31.73
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,51046,P. Retre,CM,Midfield,64.75,43.33,439.5,23.2,610.8,32.2,22.21,27.9
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,133498,F. De Vries,FB,Full Back,100.85,66.58,499.6,262.9,445.8,234.6,24.48,36.02
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,4322,H. Sakai,FB,Full Back,100.85,66.58,532.5,192.8,475.2,172.0,23.44,29.94
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,51028,S. Sutton,FB,Full Back,99.2,65.99,454.8,153.6,412.6,139.3,22.95,40.27
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,51017,T. Payne,FB,Full Back,64.75,43.33,332.3,230.9,461.9,321.0,25.5,30.55
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,38673,G. May,ST,Center Forward,100.85,66.58,631.8,203.8,563.8,181.9,23.93,32.05
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,50951,J. Brimmer,ST,Center Forward,73.1,49.97,377.8,65.4,465.2,80.5,22.28,40.7
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,27003,K. Nagasawa,ST,Center Forward,84.33,55.61,569.5,152.6,607.8,162.8,23.71,28.95
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,26969,H. Ishige,W,Wide Attacker,100.85,66.58,727.3,132.4,649.0,118.2,23.8,38.12
1899585,2024-12-07T04:00:00Z,Wellington P FC,Auckland FC,23909,K. Barbarouses,W,Wide Attacker,100.85,66.58,526.4,335.7,469.7,299.6,25.46,30.45
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,965685,L. Gillion,W,Wide Attacker,62.65,42.21,553.4,88.7,794.9,127.4,23.53,26.74
1899585,2024-12-07T04:00:00Z,Auckland FC,Wellington P FC,133501,L. Rogerson,W,Wide Attacker,62.65,42.21,506.9,178.4,728.2,256.3,24.9,29.83
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,809166,A. Lebib,CB,Central Defender,102.13,79.02,123.5,20.5,108.8,18.1,18.45,26.2
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,69111,H. Bility,CB,Central Defender,69.03,53.96,165.8,28.2,216.2,36.8,19.9,31.76
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,965697,L. Herrington,CB,Central Defender,102.13,79.02,195.3,9.1,172.1,8.1,19.37,25.75
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,560989,T. Mrčela,CB,Central Defender,102.13,79.02,89.1,12.0,78.5,10.6,17.55,30.23
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,560882,F. Bérenguer,CM,Midfield,72.1,57.26,336.5,48.7,420.0,60.8,21.82,28.86
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,51002,J. O'Shea,CM,Midfield,102.13,79.02,518.5,28.7,456.9,25.2,21.89,37.7
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,795530,N. Pennington,CM,Midfield,102.13,79.02,420.6,49.2,370.6,43.4,21.28,33.39
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,51694,T. Gomulka,CM,Midfield,102.13,79.02,403.8,27.7,355.9,24.4,20.84,26.73
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,287934,Walid Shour,CM,Midfield,102.13,79.02,413.7,118.8,364.6,104.7,21.98,37.67
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,560983,A. Burke-Gilroy,FB,Full Back,102.13,79.02,452.8,172.1,399.0,151.7,22.24,35.33
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,51043,H. Van Der Saag,FB,Full Back,72.1,57.26,380.2,63.9,474.5,79.8,21.81,31.48
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,11897,J. Risdon,FB,Full Back,102.13,79.02,259.9,63.2,229.0,55.7,20.27,37.26
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,50982,R. Warland,FB,Full Back,85.36,65.67,301.4,141.4,317.8,149.1,22.19,32.66
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,966112,A. Bugarija,ST,Center Forward,67.75,54.04,242.2,19.0,321.7,25.3,20.37,41.31
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,560984,D. Williams,ST,Center Forward,99.1,76.0,367.5,25.8,333.7,23.4,20.91,26.9
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,795537,T. Waddingham,ST,Center Forward,102.13,79.02,464.1,94.7,409.0,83.5,21.85,28.02
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,966114,A. Faisal,W,Wide Attacker,67.75,54.04,516.0,144.9,685.4,192.4,23.69,31.65
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,797298,A. Zimarino,W,Wide Attacker,72.1,57.26,448.9,67.6,560.3,84.3,21.93,28.06
1925299,2024-12-21T06:00:00Z,Brisbane FC,Perth Glory,560986,K. Jelacic,W,Wide Attacker,89.55,69.16,598.6,152.2,601.6,153.0,23.64,29.64
1925299,2024-12-21T06:00:00Z,Perth Glory,Brisbane FC,560987,T. Ostler,W,Wide Attacker,67.75,54.04,455.1,109.6,604.5,145.6,23.14,34.47
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,560990,A. Bonetig,CB,Central Defender,98.42,73.58,248.9,70.3,227.6,64.3,20.55,29.57
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,957734,C. Piper,CB,Central Defender,98.42,73.58,285.7,112.3,261.3,102.7,21.4,30.3
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,957034,D. Pelekanos,CB,Central Defender,98.42,73.58,297.5,57.0,272.1,52.1,20.87,30.88
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,698137,I. Hughes,CB,Central Defender,76.95,59.43,347.7,108.7,406.6,127.1,22.19,30.73
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,42510,S. Wootton,CB,Central Defender,98.42,73.58,177.6,40.1,162.4,36.7,19.22,31.32
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,51015,A. Rufer,CM,Midfield,98.42,73.58,385.4,30.8,352.5,28.1,21.39,27.74
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,795524,D. Scicluna,CM,Midfield,98.42,73.58,321.2,132.1,293.7,120.8,21.47,31.11
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,5468,J. Brillante,CM,Midfield,79.06,61.5,364.3,74.4,414.7,84.7,21.85,28.09
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,27003,K. Nagasawa,CM,Midfield,76.95,59.43,206.0,2.1,241.0,2.4,19.96,25.1
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,33430,G. Cléùr,FB,Full Back,98.42,73.58,639.0,204.1,584.4,186.7,23.68,30.46
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,51664,J. Clisby,FB,Full Back,86.76,66.97,542.1,143.7,562.3,149.0,23.06,39.07
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,51017,T. Payne,FB,Full Back,98.42,73.58,641.5,324.4,586.6,296.7,24.88,31.15
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,19052,B. Borrello,ST,Center Forward,79.06,61.5,544.2,193.5,619.5,220.3,23.96,31.1
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,26969,H. Ishige,ST,Center Forward,76.95,59.43,465.4,95.2,544.3,111.3,22.96,33.88
1927964,2024-12-22T06:00:00Z,Wellington P FC,Western Sydney,23909,K. Barbarouses,ST,Center Forward,98.42,73.58,474.6,152.0,434.0,139.0,23.07,31.97
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,795526,Z. Sapsford,ST,Center Forward,66.02,52.41,479.2,102.0,653.3,139.1,22.76,29.46
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,13542,B. Kraev,W,Wide Attacker,66.02,52.41,492.5,154.9,671.4,211.2,23.97,29.56
1927964,2024-12-22T06:00:00Z,Western Sydney,Wellington P FC,51036,Nicolas Milanovic,W,Wide Attacker,98.42,73.58,544.0,185.9,497.5,170.0,23.59,29.61
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,795510,B. Kaltak,CB,Central Defender,98.72,72.0,322.6,52.1,294.1,47.5,21.27,27.61
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,50992,K. Trewin,CB,Central Defender,98.72,72.0,358.9,101.4,327.2,92.5,21.95,29.81
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,795511,N. Paull,CB,Central Defender,98.72,72.0,290.8,43.5,265.1,39.6,20.58,30.18
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,9520,S. Souprayen,CB,Central Defender,98.72,72.0,214.7,37.7,195.7,34.4,19.85,28.68
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,10549,T. Sainsbury,CB,Central Defender,76.86,57.65,249.2,135.1,291.9,158.1,22.62,29.19
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,29856,A. McCalmont,CM,Midfield,98.72,72.0,344.1,26.5,313.7,24.1,20.67,26.71
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,795508,H. Steele,CM,Midfield,87.28,63.2,363.8,30.6,375.2,31.5,21.09,26.4
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,104563,N. Atkinson,CM,Midfield,98.72,72.01,642.8,201.8,586.0,183.9,24.04,32.57
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,51681,S. Ugarković,CM,Midfield,98.72,72.0,510.3,60.7,465.2,55.3,21.79,31.49
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,771861,Z. Schreiber,CM,Midfield,76.96,57.74,443.2,44.5,518.3,52.1,21.64,27.91
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,11891,A. Behich,FB,Full Back,98.72,72.0,274.8,88.4,250.6,80.6,20.9,29.1
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,51051,C. Talbot,FB,Full Back,98.72,72.0,498.5,135.7,454.4,123.7,22.62,36.93
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,23930,S. Roux,FB,Full Back,98.72,72.0,609.3,154.1,555.5,140.5,23.29,32.86
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,51668,A. Kuol,ST,Center Forward,98.72,72.01,413.4,206.1,376.9,187.9,22.75,31.07
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,795151,M. Memeti,ST,Center Forward,90.22,65.25,530.5,144.9,529.3,144.6,23.11,34.46
1953632,2024-12-31T08:00:00Z,Melbourne City,CC Mariners,771857,H. Politidis,W,Wide Attacker,76.96,57.74,535.5,161.7,626.2,189.1,24.06,32.56
1953632,2024-12-31T08:00:00Z,CC Mariners,Melbourne City,34423,Mikael Doka,W,Wide Attacker,98.72,72.0,549.8,183.9,501.3,167.7,22.91,34.79
1959846,2025-01-10T08:35:00Z,Melbourne V FC,Western United,51013,B. Hamill,CB,Central Defender,97.55,70.12,382.4,51.6,352.8,47.6,21.59,31.56
1959846,2025-01-10T08:35:00Z,Western United,Melbourne V FC,957737,D. Leonard,CB,Central Defender,97.55,70.11,483.5,62.4,446.1,57.6,22.2,28.14
1959846,2025-01-10T08:35:00Z,Melbourne V FC,Western United,9175,Roderick Miranda,CB,Central Defender,97.55,70.12,363.7,72.9,335.5,67.3,21.45,32.61
1959846,2025-01-10T08:35:00Z,Western United,Melbourne V FC,51008,T. Imai,CB,Central Defender,97.55,70.11,468.2,86.6,432.0,79.9,22.39,29.07
1959846,2025-01-10T08:35:00Z,Western United,Melbourne V FC,51675,A. Thurgate,CM,Midfield,97.55,70.11,662.7,205.4,611.4,189.5,23.89,32.21
1959846,2025-01-10T08:35:00Z,Melbourne V FC,Western United,159688,J. Valadon,CM,Midfield,97.55,70.11,395.5,92.5,364.9,85.4,21.71,28.89
